Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
James Barton Longacre,American,1794,1869,
Christian Gobrecht,American,1785,1844,
,,,,
Bela Lyon Pratt,American,1867,1917,
James Gillinder and Sons,American,1861,1930,
Forestville Manufacturing Company,American,1835,1853,
Paulding Farnham,American,1859,1927,
Tiffany & Co.,,1837,9999,
Conrad Henninger,American,1885,1932,
Pierre Stephan,French,1765,1795,
New England Glass Company,American,1818,1888,
Union Glass Company,American,,,
John Bailey,American,1736,1815,
James Davis,American,1803,1828,
John Molineux,American,1797,1820,
Revere and Son,American,1787,,
Paul Revere Jr.,American,1734,1818,
Louis C. Tiffany,American,1848,1933,
Tiffany Glass and Decorating Company,American,1892,1902,
Richard Wittingham,American,1794,1818,
Stanford White,American,1853,1906,
Augustus Truesdell,American,1810,1872,
United Society of Believers in Christ’s Second Appearing (“Shakers”),American,1750,9999,
Messenger Company,,,9999,
John Singer Sargent,American,1856,1925,
John Gaines III,American,1704,1743,
Wood and Hughes,American,1845,1899,
Gustave Herter,"German (Stuttgart, principality of Württemberg)",1830,1898,
Thomas Affleck,American,1740,1795,
Henry Connelly,American,1770,1826,
"J. S. Ford, Johnson and Company",American,1867,1902,
Solomon Fussell,American,1723,1750,
Herter Brothers,American,1864,1906,
Heywood Brothers and Wakefield Company,American,1897,1921,
Hudson and Brooks,American,1773,1873,
George Jakob Hunzinger,American,1835,1898,
George Washington Maher,American,1864,1926,
Léon Marcotte,French,1824,1887,
Marks Adjustable Folding Chair Company,American,1877,1897,
Samuel McIntire,American,1757,1811,
John and Joseph W. Meeks,American,1833,1859,
North American Iron Works,American,1874,1897,
Charles-Honoré Lannuier,American,1779,1819,
Duncan Phyfe,"American, born Scotland",1770,1854,
Pottier and Stymus Manufacturing Company,,1858,1919,
Henry Hobson Richardson,American,1836,1886,
Frank Lloyd Wright,American,1867,1959,
John Jelliff,American,1813,1893,
Joseph Meeks & Sons,American,1829,1835,
John Henry Belter,American,1804,1863,
J. H. Belter & Co.,,1854,1865,
Auguste-Emile Rinquet-Leprince,French,1801,1886,
Tobey Furniture Company,American,1875,1954,
Archer and Warner,American,,,
Henry N. Hooper,American,,9999,
Tiffany Studios,,1902,1932,
Agnes F. Northrop,American,1857,1953,Female
Thomas Danforth Boardman,American,1784,1873,
Henry Kellam Hancock,,1816,1851,
Pierre Charles L'Enfant,,1754,1825,
Louis Henry Sullivan,American,1856,1924,
Winslow Brothers Company,American,,,
Dankmar Adler,American,1844,1900,
Yale and Towne Manufacturing Company,American,1868,9999,
Curtis and Dunning,American,1816,1833,
Aaron Willard Jr.,American,1783,1864,
Boston & Sandwich Glass Company,American,1825,1888,
Samuel Danforth,American,1774,1816,
William Bradford Jr.,American,1688,1758,
Josiah Danforth,American,1803,1872,
Thomas S. Derby,American,1786,1852,
J. Eberly and Company,American,,9999,
Samuel Green,American,1757,1834,
Sylvester Griswold,American,,9999,
Samuel Hamlin,American,1746,1801,
Samuel Ely Hamlin,American,1774,1864,
Gershom Jones,American,1751,1809,
George Lightner,American,1749,1815,
"Lyman, Fenton & Co.",American,1849,1849,
John Skinner,American,1733,1813,
United States Pottery Company,American,1852,1852,
Joseph Leddel Sr.,American,1690,1754,
Joseph Leddel Jr.,American,1718,1754,
William Hook,American,1777,1867,
Myer Myers,American,1723,1795,
Laurent Amyot (Amiot),American,1764,1839,
Bailey and Kitchen,American,1830,1846,
Taylor and Lawrie,,1837,1862,
Adrian Bancker,American,1703,1772,
Jurian Blanck Jr.,American,1645,1714,
Sherman Boardman,American,1787,1861,
Timothy Boardman,American,1798,1825,
Benjamin Burt,American,1729,1805,
Denis Colombier,,1776,1806,
Samuel Drowne,American,1749,1815,
Cary Dunn,American,1762,1796,
Joseph Edwards Jr.,American,1737,1783,
John Goodhue,American,1819,1855,
"Gregg, Hayden and Company",American,1829,1840,
Ashbil Griswold,American,1784,1853,
George Hanners Sr.,American,1693,1740,
John Hull,American,1624,1683,
Robert Sanderson Sr.,,1605,1693,
Isaac Hutton,American,1766,1855,
Edward Kinsey,American,1831,1845,
Thomas Lynde,American,1745,1811,
David Moseley,American,1752,1812,
"William Moulton, IV",American,1772,1861,
Thomas Richards,American,1765,1865,
Joseph Russell,American,1702,1780,
Moody Russell,American,1694,1761,
Shepherd and Boyd,American,1806,1830,
Oliver Trask,American,1792,1847,
S. D.,,,9999,
C. White,American,1827,1840,
Benjamin Wynkoop,American,1675,1751,
Jacob Jacobse Lansing,American,1714,1791,
Parker Pottery,American,,,
Thomas Seymour,American,1771,1848,
John Doggett,American,1780,1857,
John Ritto Penniman,American,1782,1841,
Thomas Wightman,American,1759,1827,
Baumann Brothers,American,,9999,
Alexander Roux,French,1813,1886,
Peter Timmes,American,1878,1903,
Louis Benjamin Huber Defeuille,,,9999,
Jacques Thouron,,,9999,
Weyller,,,9999,
Jean-Baptiste Nini,Italian,1717,1786,
Isaac Broome,American,1835,1922,
Ott and Brewer,American,1871,1893,
Jean Jacques Caffiéri,French,1725,1792,
Pierre Joseph Chardigny,,1794,1866,
Jean Martin Renaud,French,1746,1821,
Josiah Wedgwood and Sons,British,1759,9999,
H. Sanford,,1783,1822,
Patience Wright,,1725,1786,
Henry I. Seymour,American,1851,1885,
J. and W. Moir,American,1795,1895,
George Edward Eyre,British,1818,1887,
William Spottiswoode,,,9999,
John Hays,,,9999,
Hodge and Campbell,American,,,
Jacob and Hendrick Keur,,,9999,
Pieter Keur,,,9999,
Pieter Rotterdam and Company,,,9999,
Miller Iron Company,American,,9999,
Henrich Dulhauer,American,,9999,
Johann Heinrich Otto,American,1730,1800,
Friederich Krebs,American,1765,1815,
Johan Zug,American,,9999,
"Bakewell, Pears and Company",American,1836,1882,
Benjamin Burnham,American,1726,1773,
"Challinor, Taylor and Company",American,1866,1891,
J. and J. G. Low Art Tile Works,American,1877,1903,
Lambeth Factories,,,9999,
A. R. Samuels,American,,9999,
Wistarburgh Glassworks,American,,9999,
Sebastian Witmer,,,9999,
Daniel Greatbatch,British,1838,1838,
Master Potter A,,,,
Hervey Brooks,American,1779,1873,
Redford Crown Glass Works,American,1831,1831,
Redwood Glass Company,American,1828,1868,
Adams and Company,American,,9999,
Jacob Boelen,American,1657,1729,
Ephraim Brasher,American,1744,1810,
"Ceramic Art Company, Trenton, New Jersey",American,1889,1896,
W. T. Copeland and Sons,,1847,2002,
Cristalleries de Saint-Louis,,,9999,
"Dalzell, Gilmore and Leighton",American,1885,1898,
Eoff and Phyfe,,1841,1850,
Baldwin & Co.,American,1842,1860,
T. G. Hawkes and Company,American,,9999,
"Hobbs, Brockunier and Company",American,1863,1891,
Jervis Pottery,American,1908,1912,
William P. Jervis,"American, born England",1851,1925,
Chauncey Johnson,American,1822,1841,
Cornelius Kierstede,American,1674,1760,
Jesse Kip,American,1660,1722,
"Knowles, Taylor, and Knowles",American,1870,1929,
Marcus and Co.,American,1892,1942,
Clara Chipman Newton,,1848,1936,Female
Robert Palethorp Jr.,American,1797,1822,
Providence Flint Glass Works,American,1830,1833,
Kataro Shirayamadani,"American, born Japan",1865,1948,
Rookwood Pottery Company,American,1880,1967,
Stevens and Williams,,,9999,
